run 1,,,,,,,,,
"graph [30,0.1]",,,,,,,,,
"first_unassigned_variable, lcv, forward_checking",6,0.000844955,30,0,"{0: 0, 1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 2, 7: 1, 8: 3, 9: 0, 10: 1, 11: 2, 12: 1, 13: 0, 14: 1, 15: 2, 16: 4, 17: 3, 18: 4, 19: 2, 20: 4, 21: 0, 22: 3, 23: 2, 24: 4, 25: 5, 26: 2, 27: 5, 28: 5, 29: 5}",TRUE,,,
"first_unassigned_variable, lcv, mac",6,0.000951052,30,0,"{0: 0, 1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 2, 7: 1, 8: 3, 9: 0, 10: 1, 11: 2, 12: 1, 13: 0, 14: 1, 15: 2, 16: 4, 17: 3, 18: 4, 19: 2, 20: 4, 21: 0, 22: 3, 23: 2, 24: 4, 25: 5, 26: 2, 27: 5, 28: 5, 29: 5}",TRUE,,,
"mrv, unordered_domain_values, no_inference",6,0.000995159,30,0,"{13: 0, 2: 0, 14: 1, 25: 5, 5: 0, 24: 4, 3: 1, 10: 1, 20: 4, 21: 0, 4: 0, 22: 3, 29: 5, 15: 2, 18: 4, 26: 2, 28: 5, 9: 0, 12: 1, 8: 3, 27: 5, 6: 2, 1: 0, 0: 0, 16: 4, 17: 3, 19: 2, 11: 2, 7: 1, 23: 2}",TRUE,,,
"mrv, unordered_domain_values, forward_checking",6,0.001204014,30,0,"{17: 3, 2: 0, 27: 5, 0: 0, 24: 4, 10: 1, 8: 3, 15: 2, 16: 4, 1: 0, 28: 5, 18: 4, 14: 1, 26: 2, 19: 2, 6: 2, 25: 5, 20: 4, 13: 0, 22: 3, 12: 1, 5: 0, 9: 0, 21: 0, 23: 2, 4: 0, 7: 1, 3: 1, 11: 2, 29: 5}",TRUE,,,
"mrv, unordered_domain_values, mac",6,0.001884937,30,0,"{2: 0, 11: 2, 26: 2, 10: 1, 14: 1, 16: 4, 29: 5, 6: 2, 0: 0, 24: 4, 7: 1, 23: 2, 12: 1, 25: 5, 8: 3, 27: 5, 3: 1, 19: 2, 17: 3, 28: 5, 5: 0, 20: 4, 9: 0, 15: 2, 18: 4, 1: 0, 21: 0, 4: 0, 22: 3, 13: 0}",TRUE,,,
"mrv, lcv, no_inference",6,0.00208497,30,0,"{11: 2, 23: 2, 2: 0, 29: 5, 9: 0, 16: 4, 15: 2, 13: 0, 5: 0, 6: 2, 0: 0, 22: 3, 12: 1, 4: 0, 26: 2, 19: 2, 10: 1, 28: 5, 8: 3, 3: 1, 17: 3, 14: 1, 7: 1, 27: 5, 20: 4, 1: 0, 18: 4, 25: 5, 21: 0, 24: 4}",TRUE,,,
"mrv, lcv, forward_checking",6,0.002744913,30,0,"{7: 1, 21: 0, 17: 3, 24: 4, 19: 2, 1: 0, 27: 5, 16: 4, 22: 3, 14: 1, 12: 1, 15: 2, 18: 4, 10: 1, 26: 2, 20: 4, 28: 5, 4: 0, 3: 1, 5: 0, 0: 0, 11: 2, 9: 0, 29: 5, 25: 5, 13: 0, 6: 2, 23: 2, 8: 3, 2: 0}",TRUE,,,
"mrv, lcv, mac",6,0.003242016,30,0,"{29: 5, 11: 2, 20: 4, 25: 5, 12: 1, 0: 0, 7: 1, 13: 0, 2: 0, 5: 0, 21: 0, 16: 4, 22: 3, 19: 2, 23: 2, 3: 1, 6: 2, 8: 3, 18: 4, 1: 0, 27: 5, 14: 1, 4: 0, 26: 2, 15: 2, 17: 3, 9: 0, 28: 5, 24: 4, 10: 1}",TRUE,,,
"run 1 graph [30,0.4] average time",fastest combination,fastest time,slowest combination,slowest time,,,,,
0.001428246,"first_unassigned_variable, unordered_domain_values, forward_checking",0.000478983,"mrv, lcv, mac",0.003242016,,,,,
